#1
double Demand(10584,4)  #
254	22461	19698	19732
255	22715	19526	19589
256	22829	19623	19354
257	23123	20564	19720
258	24118	21570	21505
259	24172	21428	22576
260	24027	20935	21286
261	23479	20423	20442
262	22737	19485	19911
263	21282	18327	18547
264	19670	16980	17169
265	18602	16040	15633
266	18080	15516	15100
267	17758	15329	14992
268	17655	15336	15142
269	17951	15396	15343
270	18560	16134	15456
271	20111	17558	16872
272	22257	19362	18982
273	22339	19704	21166
274	22367	19639	20046
275	22274	19607	19574
276	22320	19613	19575
277	22185	19304	19619
278	21769	19208	18995
279	21873	18968	19112
280	21677	19109	18728
281	22710	20143	19250
282	23855	21363	21177
283	23974	21495	22583
284	23630	20917	21627
285	23016	20409	20339
286	22090	19620	19901
287	21196	18484	18831
288	19065	16944	17348
289	17178	16027	15404
290	16890	15568	15110
291	16542	15320	15109
292	16616	15148	15072
293	17016	15376	14976
294	17909	16112	15604
295	19508	17427	16848
296	21157	19233	18742
297	21721	19638	21039
298	21752	19524	20043
299	21959	19503	19410
300	22019	19506	19482
301	21679	19330	19509
302	21497	19163	19154
303	21067	19057	18996
304	21056	19004	18951
305	21921	19800	18951
306	23021	20831	20596
307	23279	20831	21862
308	22718	20390	20831
309	21636	19763	19949
310	21360	18933	19136
311	20072	17777	18103
312	17921	16327	16621
313	17125	15352	14877
314	16371	14940	14377
315	16182	14717	14528
316	16258	14639	14494
317	16302	14828	14561
318	17609	15655	15017
319	19327	17047	16482
320	21009	18893	18439
321	21384	19220	20739
322	21365	19069	19547
323	21158	19033	18918
324	21118	18912	18997
325	20447	18690	18791
326	20154	18632	18468
327	19902	18463	18574
328	19872	18534	18294
329	20526	19245	18605
330	22137	20355	19956
331	22514	20436	21465
332	22128	19887	20517
333	21458	19337	19338
334	20122	18464	18787
335	18619	17216	17591
336	17069	15908	15968
337	16118	14960	14600
338	15700	14607	14012
339	15571	14367	14254
340	15620	14262	14127
341	15520	14421	14157
342	16938	15039	14580
343	18524	16482	15657
344	20011	18197	17925
345	20656	18803	19912
346	20784	18781	19409
347	20557	18842	18759
348	19981	18835	18903
349	19218	18615	18828
350	19244	18554	18395
351	19036	18437	18493
352	19238	18383	18320
353	19739	18949	18329
354	20795	19757	19515
355	20620	19673	20565
356	20321	19107	19589
357	19583	18531	18541
358	18387	17738	17955
359	17533	16814	16945
360	16730	15617	15890
361	16472	14625	14420
362	15788	14021	13633
363	15204	13737	13417
364	15492	13565	13453
365	15485	13588	13393
366	15469	13768	13611
367	16074	14423	13948
368	16883	15298	15078
369	17683	16027	16173
370	18301	16773	16756
371	19169	17177	17519
372	18389	17269	17581
373	18599	17207	17361
374	18189	16951	17145
375	17479	16719	16695
376	17614	16722	16487
377	18464	17229	16725
378	18794	18492	17736
379	19530	18497	19755
380	18990	17885	18502
381	18934	17397	17273
382	18090	16819	16909
383	17043	16012	16241
384	16240	15162	15205
385	15526	14355	14312
386	15196	13858	13548
387	14944	13563	13361
388	14684	13406	13268
389	14490	13437	13249
390	14619	13591	13468
391	14843	13850	13745
392	15457	14415	14109
393	16441	15225	14980
394	17024	16010	16035
395	17691	16565	16795
396	17747	16938	17120
397	17904	16995	17311
398	17760	16900	17052
399	17581	16805	16805
400	17852	16798	16710
401	18322	17628	16791
402	19827	18712	18458
403	19606	18508	19796
404	19663	17913	18304
405	19027	17496	17318
406	17773	16746	17079
407	16754	15857	15996
408	15745	14867	14968
409	15287	14130	13877
410	15050	13788	13393
411	14956	13696	13446
412	14881	13660	13604
413	14929	13804	13624
414	15585	14545	13948
415	17263	16064	15286
416	18172	17855	17583
417	19151	18636	19646
418	19530	18673	19417
419	20460	18893	18710
420	20530	18948	19113
421	19954	18912	19003
422	19760	18968	18876
423	19984	18895	19024
424	19733	18884	18822
425	20488	19581	18873
426	21580	20413	20278
427	21939	20372	21245
428	21277	19910	20331
429	20728	19295	19448
430	19752	18383	18680
431	18556	17260	17471
432	17193	15842	16137
433	16042	14855	14424
434	15470	14473	13868
435	15282	14217	14091
436	15154	14078	13961
437	15264	14240	13939
438	16302	14957	14402
439	17836	16376	15674
440	20198	18173	17795
441	20309	18568	19970
442	20348	18575	18963
